player_id,name,team,role,age,appearances_last_season,starts_last_season,minutes_last_season,goals_last_season,assists_last_season,clean_sheets_last_season,goals_conceded_last_season,saves_last_season,penalties_faced_last_season,penalties_saved_last_season,penalties_scored_last_season,penalties_missed_last_season,rating_matches,rating_coverage,average_rating_last_season,fantasy_average_last_season,injury_risk,injury_risk_available,starting_probability,set_piece_level,data_source,notes,yellow_cards_last_season,red_cards_last_season,performance_raw,performance_score,starting_score,bonus_raw,bonus_per_90,bonus_percentile,bonus_score,reliability_score,overall_score,overall_rank,role_rank
30440,Roberto Piccoli,Cagliari,A,24,37,37,3151,10,1,0,0,0,0,0,1,0,37,1.0,6.715,7.47,0.2,False,0.9736842105263158,1,api_football_fixtures_2024,,6,0,6.762842255210676,37.11,97.37,28.0,0.7997461123452873,56.03448275862068,54.69,97.37,65.61,112,24
66817,Nikola Krstović,Lecce,A,25,37,37,3068,11,5,0,0,0,0,0,2,1,37,1.0,7.173,8.12,0.2,False,0.9736842105263158,2,api_football_fixtures_2024,,6,0,7.060140500824711,78.1,97.37,32.0,0.938722294654498,70.6896551724138,66.0,97.37,82.78,11,2
907,Romelu Lukaku,Napoli,A,32,36,35,2870,14,10,0,0,0,0,0,3,1,36,1.0,7.006,8.4,0.2,False,0.9210526315789472,3,api_football_fixtures_2024,,4,0,6.95076800976801,64.41,92.11,47.0,1.4738675958188152,87.93103448275862,78.88,94.74,79.5,24,5
31094,Andrea Pinamonti,Genoa,A,26,36,33,2860,10,1,0,0,0,0,0,0,1,36,1.0,6.956,7.76,0.2,False,0.868421052631579,1,api_football_fixtures_2024,,4,0,6.918625152625153,59.87,86.84,26.0,0.8181818181818181,60.3448275862069,57.87,94.74,71.34,64,12
219,Matteo Politano,Napoli,C,32,37,34,2828,3,4,0,0,0,0,0,0,0,37,1.0,7.057,7.37,0.2,False,0.8947368421052632,0,api_football_fixtures_2024,,3,0,6.991787693872363,68.8,89.47,11.5,0.365983026874116,67.14975845410628,63.01,97.37,76.81,37,15
877,Moise Kean,Fiorentina,A,25,32,31,2710,19,3,0,0,0,0,0,1,1,32,1.0,7.026,8.81,0.2,False,0.8157894736842105,2,api_football_fixtures_2024,,6,0,6.958827087442472,65.52,81.58,54.0,1.793357933579336,93.96551724137932,83.0,84.21,76.71,38,8
19524,Che Adams,Torino,A,29,36,30,2656,9,3,0,0,0,0,0,0,1,36,1.0,6.91,7.7,0.2,False,0.7894736842105263,1,api_football_fixtures_2024,,3,0,6.889053724053724,55.57,78.95,25.5,0.8640813253012047,64.65517241379311,60.95,94.74,68.63,88,20
217,Lautaro Martínez,Inter,A,28,31,31,2577,12,3,0,0,0,0,0,0,0,31,1.0,7.204,8.45,0.2,False,0.8157894736842105,0,api_football_fixtures_2024,,1,0,7.065706049941344,78.71,81.58,38.5,1.3445867287543656,85.34482758620689,76.2,81.58,79.23,26,6
275651,Ange-Yoan Bonny,Parma,A,22,37,30,2545,6,4,0,0,0,0,0,2,1,37,1.0,6.929,7.5,0.2,False,0.7894736842105263,2,api_football_fixtures_2024,,2,0,6.90175453591243,57.43,78.95,18.0,0.6365422396856582,44.827586206896555,46.18,97.37,65.99,106,23
15811,Artem Dovbyk,AS Roma,A,28,32,27,2430,12,2,0,0,0,0,0,2,0,32,1.0,6.962,8.15,0.2,False,0.7105263157894737,2,api_football_fixtures_2024,,0,0,6.919442472057856,59.99,71.05,38.0,1.4074074074074074,86.20689655172413,76.42,84.21,70.5,71,14
6420,Mateo Retegui,Atalanta,A,26,36,32,2402,25,8,0,0,0,0,0,4,1,36,1.0,7.443,9.71,0.2,False,0.8421052631578947,3,api_football_fixtures_2024,,3,0,7.231696581196581,92.12,84.21,78.5,2.941298917568693,100.0,86.37,94.74,89.1,2,1
50856,Valentín Castellanos,Lazio,A,27,29,28,2395,10,3,0,0,0,0,0,2,1,29,1.0,7.216,8.16,0.2,False,0.7368421052631579,2,api_football_fixtures_2024,,9,1,7.067163439734868,78.87,73.68,24.5,0.9206680584551148,68.96551724137932,63.79,76.32,73.42,56,11
199089,Lorenzo Lucca,Udinese,A,25,33,27,2361,12,1,0,0,0,0,0,1,0,33,1.0,6.97,7.94,0.2,False,0.7105263157894737,1,api_football_fixtures_2024,,10,0,6.925226576358652,60.81,71.05,32.0,1.2198221092757306,80.17241379310344,71.85,86.84,70.04,78,16
215,Sebastiano Esposito,Empoli,A,23,33,27,2341,8,0,0,0,0,0,0,1,1,33,1.0,7.133,7.84,0.2,False,0.7105263157894737,2,api_football_fixtures_2024,,1,0,7.026717142396388,74.27,71.05,20.5,0.7881247330200769,54.310344827586206,53.11,86.84,70.06,77,15
