player_id,name,team,role,age,appearances_last_season,starts_last_season,minutes_last_season,goals_last_season,assists_last_season,clean_sheets_last_season,goals_conceded_last_season,saves_last_season,penalties_scored_last_season,average_rating_last_season,fantasy_average_last_season,injury_risk,injury_risk_available,starting_probability,growth_potential,set_piece_level,data_source,notes,yellow_cards_last_season,red_cards_last_season
30440,Roberto Piccoli,Cagliari,A,24,37,37,3151,10,1,0,0,0,1,6.715,7.47,0.2,False,0.984,78,1,api_football_fixtures_2024,,6,0
66817,Nikola Krstović,Lecce,A,25,37,37,3068,11,5,0,0,0,2,7.173,8.12,0.2,False,0.976,68,2,api_football_fixtures_2024,,6,0
907,Romelu Lukaku,Napoli,A,32,36,35,2870,14,10,0,0,0,3,7.006,8.4,0.2,False,0.946,38,3,api_football_fixtures_2024,,4,0
31094,Andrea Pinamonti,Genoa,A,26,36,33,2860,10,1,0,0,0,0,6.956,7.76,0.2,False,0.906,68,1,api_football_fixtures_2024,,4,0
219,Matteo Politano,Napoli,C,32,37,34,2828,3,4,0,0,0,0,7.057,7.37,0.2,False,0.898,38,0,api_football_fixtures_2024,,3,0
877,Moise Kean,Fiorentina,A,25,32,31,2710,19,3,0,0,0,1,7.026,8.81,0.2,False,0.96,68,2,api_football_fixtures_2024,,6,0
19524,Che Adams,Torino,A,29,36,30,2656,9,3,0,0,0,0,6.91,7.7,0.2,False,0.829,48,1,api_football_fixtures_2024,,3,0
217,Lautaro Martínez,Inter,A,28,31,31,2577,12,3,0,0,0,0,7.204,8.45,0.2,False,0.977,58,0,api_football_fixtures_2024,,1,0
275651,Ange-Yoan Bonny,Parma,A,22,37,30,2545,6,4,0,0,0,2,6.929,7.5,0.2,False,0.797,88,2,api_football_fixtures_2024,,2,0
15811,Artem Dovbyk,AS Roma,A,28,32,27,2430,12,2,0,0,0,2,6.962,8.15,0.2,False,0.844,58,2,api_football_fixtures_2024,,0,0
6420,Mateo Retegui,Atalanta,A,26,36,32,2402,25,8,0,0,0,4,7.443,9.71,0.2,False,0.845,68,3,api_football_fixtures_2024,,3,0
50856,Valentín Castellanos,Lazio,A,27,29,28,2395,10,3,0,0,0,2,7.216,8.16,0.2,False,0.951,58,2,api_football_fixtures_2024,,9,1
199089,Lorenzo Lucca,Udinese,A,25,33,27,2361,12,1,0,0,0,1,6.97,7.94,0.2,False,0.811,68,1,api_football_fixtures_2024,,10,0
215,Sebastiano Esposito,Empoli,A,23,33,27,2341,8,0,0,0,0,1,7.133,7.84,0.2,False,0.809,78,2,api_football_fixtures_2024,,1,0
161859,Gaetano Oristanio,Venezia,C,23,37,29,2333,3,3,0,0,0,0,6.736,7.02,0.2,False,0.759,78,0,api_football_fixtures_2024,,3,0
311067,Santiago Castro,Bologna,A,21,36,27,2305,8,4,0,0,0,0,6.978,7.66,0.2,False,0.738,88,1,api_football_fixtures_2024,,7,0
21509,Marcus Thuram,Inter,A,28,32,27,2298,14,4,0,0,0,0,7.356,8.78,0.2,False,0.83,58,0,api_football_fixtures_2024,,1,0
18767,Ademola Lookman,Atalanta,A,28,31,28,2263,15,5,0,0,0,1,7.383,8.93,0.2,False,0.876,58,1,api_football_fixtures_2024,,4,0
263481,Lorenzo Colombo,Empoli,A,23,37,26,2249,6,2,0,0,0,1,6.847,7.29,0.2,False,0.695,78,1,api_football_fixtures_2024,,5,1
6931,Liberato Cacace,Empoli,D,25,33,24,2234,2,4,0,0,0,0,6.707,6.92,0.2,False,0.735,68,0,api_football_fixtures_2024,,6,0
30603,Dany Mota,Monza,A,27,31,24,2111,5,2,0,0,0,0,6.946,7.45,0.2,False,0.769,58,0,api_football_fixtures_2024,,3,0
194837,Tomáš Suslov,Verona,C,23,31,27,2097,0,1,0,0,0,0,6.899,6.79,0.2,False,0.835,78,0,api_football_fixtures_2024,,7,1
147859,Charles De Ketelaere,Atalanta,A,24,36,25,2080,7,7,0,0,0,0,7.224,7.99,0.2,False,0.679,78,0,api_football_fixtures_2024,,1,0
1649,Patrick Cutrone,Como,A,27,33,23,2053,7,4,0,0,0,0,7.066,7.81,0.2,False,0.695,58,1,api_football_fixtures_2024,,1,0
1922,Florian Thauvin,Udinese,A,32,25,24,1971,8,3,0,0,0,1,7.259,8.34,0.2,False,0.935,38,2,api_football_fixtures_2024,,0,0
6662,Santiago Pierotti,Lecce,A,24,36,22,1947,4,2,0,0,0,0,6.778,7.06,0.2,False,0.608,78,0,api_football_fixtures_2024,,6,1
236955,Amin Sarr,Verona,A,24,32,25,1918,4,1,0,0,0,0,6.795,7.19,0.2,False,0.747,78,0,api_football_fixtures_2024,,1,0
323936,Matías Soulé,AS Roma,A,22,27,22,1799,5,5,0,0,0,0,7.343,8.03,0.2,False,0.792,88,0,api_football_fixtures_2024,,3,0
30415,Dušan Vlahović,Juventus,A,25,29,21,1798,10,4,0,0,0,4,6.946,8.07,0.2,False,0.714,68,3,api_football_fixtures_2024,,3,0
30460,Gianluca Caprari,Monza,A,32,34,18,1662,3,2,0,0,0,2,6.988,7.27,0.2,False,0.534,38,2,api_football_fixtures_2024,,3,0
986,Joel Pohjanpalo,Venezia,A,31,20,19,1615,6,0,0,0,0,3,7.001,7.88,0.2,False,0.934,38,3,api_football_fixtures_2024,,1,0
140831,Zito Luvumbo,Cagliari,A,23,26,19,1614,2,2,0,0,0,0,6.759,7.03,0.2,False,0.718,78,0,api_football_fixtures_2024,,2,0
134926,Daniel Maldini,Monza,C,24,30,18,1571,6,0,0,0,0,0,6.89,7.41,0.2,False,0.595,78,0,api_football_fixtures_2024,,5,0
31692,Milan Đurić,Monza,A,35,27,16,1554,5,1,0,0,0,0,6.995,7.51,0.2,False,0.607,18,0,api_football_fixtures_2024,,4,0
162703,Casper Tengstedt,Verona,A,25,25,20,1531,6,1,0,0,0,1,6.821,7.54,0.2,False,0.764,68,1,api_football_fixtures_2024,,2,0
286474,Matteo Cancellieri,Parma,A,23,27,19,1440,3,0,0,0,0,0,6.784,7.04,0.2,False,0.67,78,0,api_football_fixtures_2024,,2,1
875,Paulo Dybala,AS Roma,A,32,24,16,1420,6,3,0,0,0,3,7.598,8.43,0.2,False,0.664,38,2,api_football_fixtures_2024,,2,0
340700,Jacopo Fazzini,Empoli,C,22,20,16,1393,4,1,0,0,0,0,7.089,7.64,0.2,False,0.792,88,0,api_football_fixtures_2024,,2,1
59421,Daniel Mosquera,Verona,A,26,35,12,1371,5,1,0,0,0,0,6.856,7.26,0.2,False,0.371,68,0,api_football_fixtures_2024,,4,0
281408,Vitinha,Genoa,A,25,25,16,1338,2,3,0,0,0,0,6.772,7.09,0.2,False,0.626,68,0,api_football_fixtures_2024,,2,0
2522,Antonio Sanabria,Torino,A,29,26,16,1331,2,1,0,0,0,0,6.714,6.95,0.2,False,0.601,48,1,api_football_fixtures_2024,,2,0
552,David Neres,Napoli,C,28,28,13,1294,2,4,0,0,0,0,7.056,7.39,0.2,False,0.479,58,0,api_football_fixtures_2024,,1,0
2799,Albert Guðmundsson,Fiorentina,A,28,24,16,1285,6,1,0,0,0,2,6.98,7.73,0.2,False,0.645,58,2,api_football_fixtures_2024,,2,0
30629,Nicolas Viola,Cagliari,C,36,27,18,1280,3,1,0,0,0,0,6.878,7.21,0.2,False,0.625,18,0,api_football_fixtures_2024,,2,0
25414,John Yeboah,Venezia,C,25,33,11,1231,1,1,0,0,0,0,6.753,6.78,0.2,False,0.358,68,0,api_football_fixtures_2024,,6,0
483,Khvicha Kvaratskhelia,Napoli,A,24,17,15,1187,5,3,0,0,0,1,7.384,8.41,0.2,False,0.85,78,1,api_football_fixtures_2024,,1,0
19194,Tammy Abraham,AC Milan,A,28,29,12,1183,3,4,0,0,0,1,6.704,7.13,0.2,False,0.426,58,2,api_football_fixtures_2024,,1,0
21104,Randal Kolo Muani,Juventus,A,27,16,13,1164,8,1,0,0,0,1,7.13,8.69,0.2,False,0.811,58,1,api_football_fixtures_2024,,0,0
93016,Thijs Dallinga,Bologna,A,25,31,11,1163,3,2,0,0,0,0,6.811,7.15,0.2,False,0.373,68,0,api_football_fixtures_2024,,1,0
30789,Christian Kouamé,Fiorentina,A,28,26,10,1127,1,1,0,0,0,0,6.948,7.08,0.2,False,0.414,58,0,api_football_fixtures_2024,,1,0
48193,Pontus Almqvist,Parma,A,26,29,10,1120,1,1,0,0,0,0,6.699,6.75,0.2,False,0.37,68,0,api_football_fixtures_2024,,5,0
30543,Giacomo Raspadori,Napoli,A,25,26,11,1119,6,1,0,0,0,0,7.294,8.01,0.2,False,0.44,68,0,api_football_fixtures_2024,,1,0
791,Stephan El Shaarawy,AS Roma,C,33,31,12,1119,3,4,0,0,0,0,7.081,7.47,0.2,False,0.391,28,0,api_football_fixtures_2024,,2,0
53535,Eldor Shomurodov,AS Roma,A,30,27,11,1117,4,4,0,0,0,0,6.878,7.45,0.2,False,0.423,48,0,api_football_fixtures_2024,,1,0
31532,Patrick Ciurria,Monza,C,30,21,12,1117,1,1,0,0,0,0,6.902,7.07,0.2,False,0.577,48,0,api_football_fixtures_2024,,1,0
59,Álvaro Morata,AC Milan,A,33,16,13,1105,5,0,0,0,0,0,6.985,7.77,0.2,False,0.799,28,0,api_football_fixtures_2024,,5,0
2299,Pedro,Lazio,A,38,30,6,1093,10,1,0,0,0,2,7.14,8.14,0.2,False,0.261,18,2,api_football_fixtures_2024,,2,0
19185,Keinan Davis,Udinese,A,27,23,10,1071,2,1,0,0,0,0,6.986,7.25,0.2,False,0.46,58,0,api_football_fixtures_2024,,2,0
1278,Yann Karamoh,Torino,A,27,29,10,1058,0,1,0,0,0,0,6.555,6.56,0.2,False,0.363,58,0,api_football_fixtures_2024,,2,0
